Date,S&P Comp,Dividend,Earnings,GS10
1871.01,4.44,0.26,0.4,5.32
1871.02,4.5,0.26,0.4,5.32
1871.03,4.61,0.26,0.4,5.33
1871.04,4.74,0.26,0.4,5.33
1871.05,4.86,0.26,0.4,5.33
1871.06,4.82,0.26,0.4,5.34
1871.07,4.73,0.26,0.4,5.34
1871.08,4.79,0.26,0.4,5.34
1871.09,4.84,0.26,0.4,5.35
1871.1,4.59,0.26,0.4,5.35
1871.11,4.64,0.26,0.4,5.35
1871.12,4.74,0.26,0.4,5.36
1872.01,4.86,0.26,0.4,5.36
1872.02,4.88,0.27,0.41,5.38
1872.03,5.04,0.27,0.41,5.4
1872.04,5.18,0.27,0.41,5.42
1872.05,5.18,0.28,0.41,5.43
1872.06,5.13,0.28,0.42,5.45
1872.07,5.1,0.28,0.42,5.47
1872.08,5.04,0.29,0.42,5.49
1872.09,4.95,0.29,0.42,5.51
1872.1,4.97,0.29,0.43,5.53
1872.11,4.95,0.3,0.43,5.54
1872.12,5.07,0.3,0.43,5.56
1873.01,5.11,0.3,0.43,5.58
1873.02,5.15,0.31,0.44,5.57
1873.03,5.11,0.31,0.44,5.56
1873.04,5.04,0.31,0.44,5.55
1873.05,5.05,0.31,0.44,5.54
1873.06,4.98,0.32,0.45,5.53
1873.07,4.97,0.32,0.45,5.53
1873.08,4.97,0.32,0.45,5.52
1873.09,4.59,0.32,0.45,5.51
1873.1,4.19,0.33,0.46,5.5
1873.11,4.04,0.33,0.46,5.49
1873.12,4.42,0.33,0.46,5.48
1874.01,4.66,0.33,0.46,5.47
1874.02,4.8,0.33,0.46,5.44
1874.03,4.73,0.33,0.46,5.4
1874.04,4.6,0.33,0.46,5.37
1874.05,4.48,0.33,0.46,5.34
1874.06,4.46,0.33,0.46,5.3
1874.07,4.46,0.33,0.46,5.27
1874.08,4.47,0.33,0.46,5.24
1874.09,4.54,0.33,0.46,5.2
1874.1,4.53,0.33,0.46,5.17
1874.11,4.57,0.33,0.46,5.14
1874.12,4.54,0.33,0.46,5.1
1875.01,4.54,0.33,0.45,5.07
1875.02,4.53,0.33,0.44,5.03
1875.03,4.59,0.32,0.44,4.99
1875.04,4.65,0.32,0.43,4.95
1875.05,4.47,0.32,0.42,4.91
1875.06,4.38,0.32,0.41,4.87
1875.07,4.39,0.31,0.4,4.83
1875.08,4.41,0.31,0.39,4.79
1875.09,4.37,0.31,0.39,4.75
1875.1,4.3,0.31,0.38,4.71
1875.11,4.37,0.3,0.37,4.67
1875.12,4.37,0.3,0.36,4.63
1876.01,4.46,0.3,0.35,4.59
1876.02,4.52,0.3,0.35,4.58
1876.03,4.51,0.3,0.34,4.57
1876.04,4.34,0.3,0.33,4.56
1876.05,4.18,0.3,0.33,4.54
1876.06,4.15,0.3,0.32,4.53
1876.07,4.1,0.3,0.31,4.52
1876.08,3.93,0.3,0.31,4.51
1876.09,3.69,0.3,0.3,4.5
1876.1,3.67,0.3,0.29,4.49
1876.11,3.6,0.3,0.29,4.47
1876.12,3.58,0.3,0.28,4.46
1877.01,3.55,0.29,0.28,4.45
1877.02,3.34,0.28,0.28,4.44
1877.03,3.17,0.27,0.29,4.43
1877.04,2.94,0.26,0.29,4.42
1877.05,2.94,0.25,0.29,4.41
1877.06,2.73,0.25,0.29,4.4
1877.07,2.85,0.24,0.29,4.4
1877.08,3.05,0.23,0.29,4.39
1877.09,3.24,0.22,0.3,4.38
1877.1,3.31,0.21,0.3,4.37
1877.11,3.26,0.2,0.3,4.36
1877.12,3.25,0.19,0.3,4.35
1878.01,3.25,0.19,0.3,4.34
1878.02,3.18,0.19,0.3,4.33
1878.03,3.24,0.19,0.3,4.32
1878.04,3.33,0.19,0.3,4.31
1878.05,3.34,0.19,0.3,4.3
